genre,description
Action,"A work typically depicting fighting, violence, chaos, and fast paced motion."
Adult,Contains mature content that is suitable only for adults. Titles in this category may include prolonged scenes of intense violence and/or graphic sexual content and nudity.
Adventure,"Exploring new places, environments or situations. This is often associated with people on long journeys to places far away encountering amazing things."
Comedy,A dramatic work that is light and often humorous or satirical in tone and that usually contains a happy resolution of the thematic conflict.
Drama,"A work meant to bring on an emotional response, such as instilling sadness or tension.
Novels that often show life or characters through conflict and emotions. In general, the different parts of the story tend to form a whole that is greater than the sum of the parts. In other words, the story has a message that is bigger than just the story line itself"
Ecchi,"Possibly the line between hentai and non-hentai, ecchi usually refers to fanservice put in to attract a certain group of fans."
Fantasy,"Anything that involves, but not limited to, magic, dream world, and fairy tales."
Gender Bender,"Girls dressing up as guys, guys dressing up as girls. Guys turning into girls, girls turning into guys."
Harem,A series involving one male character and many female characters (usually attracted to the male character). A Reverse Harem is when the genders are reversed.
Historical,"Novels whose setting is in the past. Frequently these follow historical tales, sagas or facts.
World with kingdom setting that are not from actual history saga, tales, are not included."
Horror,Novels whose focus is to scare the audience.
Josei,Literally [Woman]. Targets women 18-30. Female equivalent to seinen. Unlike shoujo the romance is more realistic and less idealized. The storytelling is more explicit and mature.
Martial Arts,"The novel has a focus on any of several arts of combat or self-defense. These may include aikido, karate, judo, or tae kwon do, kendo, fencing, and so on and so forth."
Mature,"Contains subject matter which may be too extreme for a younger audience. Content that deals with mature themes such as gore, sex, or violence."
Mecha,A work involving and usually concentrating on all types of large robotic machines.
Mystery,"Usually an unexplained event occurs, and the main protagonist attempts to find out what caused it."
Psychological,"Usually deals with the philosophy of a state of mind, in most cases detailing abnormal psychology."
Romance,A story in this genre focus heavily on the romantic relationship between two or more people.
School Life,Having a major setting of the story deal with some type of school.
Sci-fi,"Short for science fiction, these works involve twists on technology and other science related phenomena which are contrary or stretches of the modern day scientific world."
Seinen,Seinen means 'Young Man.' Novels that specifically targets young adult males around the ages of 18 to 25 are Seinen titles. Typically the story lines deal with the issues of adulthood.
Shoujo,A work intended and primarily written for females. Usually the story is from the point of view of a young female protagonist and usually involves romance and drama.
Shoujo Ai,"Often synonymous with Yuri, this can be thought of as somewhat less extreme and only hints at a relationship between two females. [Girl's Love], so to speak."
Shounen,"A work intended and primarily written for younger male audience. These works usually involve, but not limited to, fighting and/or violence."
Shounen Ai,"Often synonymous with Yaoi, this can be thought of as somewhat less extreme and only hints at a relationship between two males. [Boy's Love], so to speak."
Slice of Life,"Novels with no focused plot. This genre tends to be naturalistic and mainly focuses around the main characters and their everyday lives. Often there will be some philosophical perspectives regarding love, relationships, life etc. tied into the novel. The overall typical moods for this type of story are cheery and carefree, no-rush life for the characters."
Smut,Erotic work of fiction that's mainly targeted toward females. Smut stories often gives heavy focus on love and relationships between the main characters.
Sports,"As the name suggests, story with sports as one of its main element. Baseball, basketball, hockey, soccer, golf, and racing just to name a few."
Supernatural,Usually entails amazing and unexplained powers or events which defy the laws of physics.
Tragedy,Contains events resulting in great loss and misfortune that's basically shaped or influence the entire story.
Wuxia,"Wuxia is a fictional stories about mortal humans who can achieve superhuman ability through martial arts training or internal energy cultivation. Wuxia is usually depicted in an ancient china setting. Despite any existence of supernatural elements, characters in a wuxia are rarely depicted reaching over 150 years of age. No immortality."
Xianxia,"Xianxia is fictional martial art stories where the main goal of the population is cultivating to Immortality, seeking eternal life and the pinnacle of strength.
Xianxia stories features supernatural elements, influenced heavily by Chinese folklore/mythology. Cultivation path in xianxia involves taoism/daoism elements."
Xuanhuan,"Similar to xianxia, Xuanhuan may contain immortal cultivation. However, unlike xianxia, which is more focused on becoming immortal and tighter on chinese mythology, Xuanhuan is a broader, more loose genre. Basically, if it's a cultivation-based story, yet it contain elements of western fantasy, such as sci-fi, or magic that's not inherently eastern, then it is a xuanhuan."
Yaoi,This work usually involves intimate relationships between men. Mutually exclusive with shounen ai.
Yuri,This work usually involves intimate relationships between women. Mutually exclusive with shoujo ai.
